study,task,predictor,variant,damage_type,damage_level,head_type,metric,n_rows,n_seeds,mean,sd,median,q25,q75,boot_ci_low,boot_ci_high
study3,,,euclidean_length,load_targeted,0.1,,gate_entropy,4,4,0.4937665238645973,0.011772311104379055,0.4938727490436259,0.4847180934619793,0.5029211794462439,0.4837408868074709,0.5037921609217237
study3,,,euclidean_length,load_targeted,0.1,,load_gini,4,4,0.5405999600050003,0.01224561595389608,0.5425104151738195,0.5368684640710603,0.5462419111077595,0.5289650676467257,0.5503243971944558
study3,,,euclidean_length,load_targeted,0.1,,surface_degradation,4,4,0.09991898592503654,0.013374921916900777,0.09755352300817166,0.08972991572579181,0.10774259320741637,0.0891451706885405,0.11069280116153254
study3,,,euclidean_length,load_targeted,0.1,,traffic_degradation,4,4,28.147667975270362,3.2951727376960616,28.19255406588717,25.442889079007738,30.897332962149793,25.164832505789153,30.99147515814228
study3,,,euclidean_length,load_targeted,0.15,,damage_level,4,4,0.15,0.0,0.15,0.15,0.15,0.15,0.15
study3,,,euclidean_length,load_targeted,0.15,,segments,4,4,256.0,0.0,256.0,256.0,256.0,256.0,256.0
study3,,,euclidean_length,load_targeted,0.15,,active_segments,4,4,103.0,8.205689083394114,104.5,99.5,108.0,95.75,109.0
study3,,,euclidean_length,load_targeted,0.15,,total_length,4,4,35.701748343488475,0.5629215409614455,35.6768415693988,35.234968732702164,36.14362118018511,35.218362142377586,36.18513454459935
study3,,,euclidean_length,load_targeted,0.15,,tube_area,4,4,6.847845127514008,0.19445628944845547,6.836628015838315,6.681683014841226,7.002790128511098,6.680383934835236,7.0153063201927806
study3,,,euclidean_length,load_targeted,0.15,,junction_area,4,4,1.344392546306242,0.07488447302612361,1.322443609766542,1.2939298678218152,1.3729062882509688,1.29054640618814,1.4076224828085178
study3,,,euclidean_length,load_targeted,0.15,,surface,4,4,8.192237673820252,0.2630229887294103,8.159071625604858,7.975612882663041,8.375696416762066,7.970930341023376,8.413545006617124
study3,,,euclidean_length,load_targeted,0.15,,delivered_traffic,4,4,26.421289132389134,2.992897289070261,25.578909721733307,24.20423348041762,27.795965373704817,24.156542636836818,28.912613183310633
study3,,,euclidean_length,load_targeted,0.15,,normalized_surface,4,4,0.31212177326711277,0.024282983049775813,0.31908758735863335,0.30207814723687376,0.3291312133888724,0.2910550950905532,0.32997650818023194
study3,,,euclidean_length,load_targeted,0.15,,gate_entropy,4,4,0.46270634430089036,0.011960317176511557,0.46287264529061195,0.4536089971901477,0.4719699924013546,0.4525393939963878,0.4728732946053929
study3,,,euclidean_length,load_targeted,0.15,,load_gini,4,4,0.5405105412727755,0.014899597449779277,0.5399826778536494,0.5302833792072115,0.5502098399192134,0.5283732533500024,0.5526478291955486
study3,,,euclidean_length,load_targeted,0.15,,surface_degradation,4,4,0.13637086879598603,0.018084247595365623,0.13430626764629866,0.12346621239313514,0.14721092404914954,0.1218082992650989,0.1509334383268732
study3,,,euclidean_length,load_targeted,0.15,,traffic_degradation,4,4,34.1057697599538,3.7381506218805955,33.865583665803825,30.912936067989378,37.05841735776825,30.867160629125486,37.32149117135017
study3,,,euclidean_length,none,0.0,,damage_level,4,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
study3,,,euclidean_length,none,0.0,,segments,4,4,256.0,0.0,256.0,256.0,256.0,256.0,256.0
study3,,,euclidean_length,none,0.0,,active_segments,4,4,141.0,8.205689083394114,142.5,137.5,146.0,133.75,147.0
study3,,,euclidean_length,none,0.0,,total_length,4,4,41.759768533093535,0.6018926758283021,41.76844760569419,41.32180442013851,42.206411718649214,41.25418586669136,42.26535119949571
study3,,,euclidean_length,none,0.0,,tube_area,4,4,8.606294532987677,0.21294463389936324,8.584421771600521,8.429573128758108,8.761143175830092,8.425618817198181,8.786970248777173
study3,,,euclidean_length,none,0.0,,junction_area,4,4,1.9768257989931415,0.08494620465115271,1.9447883811207698,1.9301091759422238,1.9915050041716875,1.9253171149216564,2.0602203898785763
study3,,,euclidean_length,none,0.0,,surface,4,4,10.583120331980819,0.2795769918008425,10.521301529601441,10.366604397817449,10.737817463764813,10.360823076277818,10.805417587683824
study3,,,euclidean_length,none,0.0,,delivered_traffic,4,4,60.527058892342936,5.750276227389309,59.39871794867324,57.06187220614543,62.863904634870735,56.373576383129134,65.67290320848697
study3,,,euclidean_length,none,0.0,,normalized_surface,4,4,0.1757509044711267,0.013078825038054099,0.17733629115688734,0.1674686756811959,0.18561851994681816,0.16502989964719955,0.18647190929505386
study3,,,euclidean_length,none,0.0,,gate_entropy,4,4,0.5597507285210871,0.012135786553981842,0.5592597674785589,0.5493087931368078,0.5697017028628382,0.5492679339506756,0.5702335230914986
study3,,,euclidean_length,none,0.0,,load_gini,4,4,0.6096822694400401,0.0225011803034984,0.6113249543362834,0.6021261276542806,0.618881096122043,0.5888333482269873,0.6288885057568498
study3,,,euclidean_length,spatial,0.05,,damage_level,4,4,0.05,0.0,0.05,0.05,0.05,0.05,0.05
study3,,,euclidean_length,spatial,0.05,,segments,4,4,256.0,0.0,256.0,256.0,256.0,256.0,256.0
study3,,,euclidean_length,spatial,0.05,,active_segments,4,4,130.5,8.34665601703261,131.5,126.0,136.0,123.75,137.0
study3,,,euclidean_length,spatial,0.05,,total_length,4,4,39.595036365045715,0.6148245330849275,39.64291601204399,39.186849945247666,40.05110243184204,39.08696051265669,40.103112217434735
study3,,,euclidean_length,spatial,0.05,,tube_area,4,4,8.131992033479035,0.21719068386410897,8.124933257137563,7.965753904392952,8.291171386223645,7.948627839601631,8.315356227356437
study3,,,euclidean_length,spatial,0.05,,junction_area,4,4,1.889375867782242,0.08330905773499829,1.8647283467352538,1.8385485618843567,1.915555652633139,1.8324510842863964,1.967004496296568
study3,,,euclidean_length,spatial,0.05,,surface,4,4,10.021367901261277,0.27552468149195675,9.95738434142396,9.802148664707858,10.17660357797738,9.801161231140965,10.241574571381587
study3,,,euclidean_length,spatial,0.05,,delivered_traffic,4,4,56.288514279000914,5.904654885645086,55.18844658996926,52.84981239745122,58.62714847151897,52.06059868809823,61.616497558935265
study3,,,euclidean_length,spatial,0.05,,normalized_surface,4,4,0.17917584691237226,0.01495097733880006,0.18061257564806735,0.16985789025711392,0.18993053230332568,0.16702362598519765,0.19132806783954687
study3,,,euclidean_length,spatial,0.05,,gate_entropy,4,4,0.5284807434004353,0.012291992872280838,0.528431295638667,0.5184694682929145,0.5384425707461876,0.5179018149022152,0.5390596718986553
study3,,,euclidean_length,spatial,0.05,,load_gini,4,4,0.6347902292860903,0.023240820738155046,0.6345011851052517,0.6261619660557731,0.643129448335569,0.6131726339983405,0.6557745922442977
study3,,,euclidean_length,spatial,0.05,,surface_degradation,4,4,0.003424942441245525,0.001984403041944589,0.00327628449117995,0.002389214575917975,0.0043120123565075,0.0018440289387491502,0.0051545138938074745
study3,,,euclidean_length,spatial,0.05,,traffic_degradation,4,4,4.238544613342015,0.20572034430834069,4.21027135870397,4.096764089494375,4.35205188255161,4.076584869523039,4.402292807151241
study3,,,euclidean_length,spatial,0.1,,damage_level,4,4,0.1,0.0,0.1,0.1,0.1,0.1,0.1
study3,,,euclidean_length,spatial,0.1,,segments,4,4,256.0,0.0,256.0,256.0,256.0,256.0,256.0
study3,,,euclidean_length,spatial,0.1,,active_segments,4,4,125.25,7.762087348130012,126.5,121.75,130.0,118.5,131.0
study3,,,euclidean_length,spatial,0.1,,total_length,4,4,37.450887214159906,0.5383670624420045,37.46620785805272,37.004172879007676,37.91292219320495,36.98542716766772,37.916347260652095
study3,,,euclidean_length,spatial,0.1,,tube_area,4,4,7.735197410802121,0.1669483005100118,7.748858223633511,7.6280795561986885,7.855976078236944,7.598585928538059,7.871808893066184
study3,,,euclidean_length,spatial,0.1,,junction_area,4,4,1.8653123389426902,0.054021674425963964,1.86534835274621,1.8285154608522518,1.9021452308366484,1.8209978196154306,1.9096268582699496
study3,,,euclidean_length,spatial,0.1,,surface,4,4,9.600509749744813,0.20398995038708576,9.614206576379722,9.500567893036646,9.714148433087887,9.428214999143135,9.759107673711577
study3,,,euclidean_length,spatial,0.1,,delivered_traffic,4,4,55.2594080309282,4.051161956658728,55.79097948536996,52.97944357675238,58.07094393954578,52.053047953237765,58.46576810861863
study3,,,euclidean_length,spatial,0.1,,normalized_surface,4,4,0.17428624467462012,0.010238142936722774,0.17268039872146834,0.1657991535214089,0.18116748987467954,0.1657389607831851,0.18283352856605511
study3,,,euclidean_length,spatial,0.1,,gate_entropy,4,4,0.501902502996801,0.009780850172272607,0.5032817346647678,0.4954435787347624,0.5097406589268062,0.4937767977545729,0.5100282082390288
study3,,,euclidean_length,spatial,0.1,,load_gini,4,4,0.6531953493001157,0.015738193796257665,0.6581260314493494,0.6505112676451152,0.6608101131043498,0.6370481616906551,0.6639702493468402
study3,,,euclidean_length,spatial,0.1,,surface_degradation,4,4,-0.0014646597965065748,0.0049713244983912025,-0.0031509792255868503,-0.0045325771601606255,-8.306186193280003e-05,-0.00477627791186655,0.0029643291564997506
